2026-08-07T01:10:06.501Z | GET | /
2026-08-07T01:10:08.909Z | GET | /css/estilos.css
2026-08-07T01:10:08.918Z | GET | /js/app.js
2026-08-07T01:10:10.364Z | GET | /css/estilos.css
2026-08-07T01:10:25.367Z | GET | /
2026-08-07T01:10:25.521Z | GET | /css/estilos.css
2026-08-07T01:10:25.556Z | GET | /js/app.js
2026-08-07T01:10:36.375Z | GET | /status
2026-08-07T01:10:42.740Z | GET | /css/estilos.css
2026-08-07T01:10:46.793Z | GET | /usuarios
2026-08-07T01:10:46.915Z | GET | /css/estilos.css
2026-08-07T01:10:46.930Z | GET | /js/app.js
2026-08-07T01:11:05.804Z | GET | /usuarios?nombre=Estefania&activo=true
2026-08-07T01:11:05.920Z | GET | /css/estilos.css
2026-08-07T01:11:05.927Z | GET | /js/app.js
2026-08-07T01:11:15.476Z | GET | /usuarios?nombre=Juan&activo=true
2026-08-07T01:11:15.577Z | GET | /css/estilos.css
2026-08-07T01:11:15.621Z | GET | /js/app.js
2026-08-07T01:11:20.342Z | GET | /usuarios?nombre=Juan&activo=
2026-08-07T01:11:20.516Z | GET | /css/estilos.css
2026-08-07T01:11:20.596Z | GET | /js/app.js
2026-08-07T01:11:27.036Z | GET | /usuarios?nombre=Ana&activo=
2026-08-07T01:11:27.201Z | GET | /css/estilos.css
2026-08-07T01:11:27.225Z | GET | /js/app.js
2026-08-07T01:11:32.007Z | GET | /usuarios?nombre=&activo=
2026-08-07T01:11:32.135Z | GET | /css/estilos.css
2026-08-07T01:11:32.159Z | GET | /js/app.js
2026-08-07T01:11:42.374Z | GET | /usuarios?nombre=Carlos+P%C3%A9rez&activo=
2026-08-07T01:11:42.522Z | GET | /css/estilos.css
2026-08-07T01:11:42.550Z | GET | /js/app.js
2026-08-07T01:12:23.573Z | GET | /
2026-08-07T01:12:23.750Z | GET | /css/estilos.css
2026-08-07T01:12:23.772Z | GET | /js/app.js
2026-08-07T01:12:25.978Z | GET | /api/usuarios
2026-08-07T01:12:31.751Z | GET | /css/estilos.css
2026-08-07T01:12:43.722Z | GET | /usuarios?nombre=&activo=
2026-08-07T01:12:43.815Z | GET | /css/estilos.css
2026-08-07T01:12:43.856Z | GET | /js/app.js
2026-08-07T01:12:45.838Z | GET | /usuarios/3
2026-08-07T01:12:45.950Z | GET | /css/estilos.css
2026-08-07T01:12:45.976Z | GET | /js/app.js
2026-08-07T01:12:48.780Z | GET | /usuarios
2026-08-07T01:12:48.882Z | GET | /css/estilos.css
2026-08-07T01:12:48.898Z | GET | /js/app.js
2026-08-07T01:12:51.570Z | GET | /usuarios/4
2026-08-07T01:12:51.665Z | GET | /css/estilos.css
2026-08-07T01:12:51.703Z | GET | /js/app.js
